,Year_Month,inc_all,inc_ms
12,201401,4395,15
13,201402,3045,17
14,201403,3669,16
15,201404,3891,20
16,201405,4320,21
17,201406,4440,27
18,201407,5219,34
19,201408,5259,37
20,201409,5052,20
21,201410,4915,19
22,201411,3795,23
23,201412,3854,21
24,201501,3907,22
25,201502,3108,17
26,201503,4314,21
27,201504,4471,18
28,201505,5015,36
29,201506,4596,36
30,201507,5076,42
31,201508,5024,39
32,201509,4849,34
33,201510,4502,20
34,201511,4262,27
35,201512,4455,20
36,201601,4590,11
37,201602,3967,27
38,201603,4892,21
39,201604,4672,33
40,201605,4902,29
41,201606,4530,45
42,201607,5250,49
43,201608,5527,42
44,201609,4937,32
45,201610,5251,31
46,201611,5092,36
47,201612,5153,27
48,201701,5258,32
49,201702,4585,25
50,201703,4994,22
51,201704,5577,39
52,201705,5666,23
53,201706,5158,35
54,201707,5547,37
55,201708,5202,33
56,201709,4790,28
57,201710,5200,26
58,201711,4802,24
59,201712,4622,21
60,201801,4926,23
61,201802,4124,14
62,201803,4752,17
